size,graph,idx,gw_solution,gw_val,opt_solution,opt_val,optimal,ar,worst_val,num_cuts
12,reg3,41,995,15.0,682_995_3100_3413,15.0,True,1.0,0.0,5
12,reg3,42,749,15.0,632_749_3346_3463,15.0,True,1.0,0.0,5
12,reg3,43,854,18.0,854_3241,18.0,True,1.0,0.0,5
12,reg3,44,303,16.0,303_399_423_1319_2776_3672_3696_3792,16.0,True,1.0,0.0,5
12,reg3,45,969,16.0,969_1086_3009_3126,16.0,True,1.0,0.0,5
12,reg3,46,933,16.0,813_933_3162_3282,16.0,True,1.0,0.0,5
12,reg3,47,795,18.0,795_3300,18.0,True,1.0,0.0,5
14,reg3,0,2394,18.0,2394_13989,18.0,True,1.0,0.0,5
14,reg3,1,5655,17.0,727_1623_2286_5655_5907_6318_6570_7466_8917_9813_10065_10476_10728_14097_14760_15656,17.0,True,1.0,0.0,5
14,reg3,2,6245,18.0,6245_10138,18.0,True,1.0,0.0,5
14,reg3,3,2746,17.0,2715_2734_2746_2905_2924_2969_2988_3000_4763_4782_4794_5715_5734_5779_5798_5810_10573_10585_10604_10649_10668_11589_11601_11620_13383_13395_13414_13459_13478_13637_13649_13668,17.0,True,1.0,0.0,5
14,reg3,4,6567,18.0,6567_7042_9341_9816,18.0,True,1.0,0.0,5
14,reg3,5,4585,17.0,1001_2793_2801_2808_4525_4585_5415_5541_5601_10782_10842_10968_11798_11858_13575_13582_13590_15382,17.0,True,1.0,0.0,5
14,reg3,6,965,18.0,965_4767_11616_15418,18.0,True,1.0,0.0,5
14,reg3,7,3041,17.0,2855_2981_3041_5368_11015_13342_13402_13528,17.0,True,1.0,0.0,5
14,reg3,8,942,17.0,2511_13872,18.0,False,0.9444444444444444,0.0,5
14,reg3,9,3262,18.0,3262_4707_11676_13121,18.0,True,1.0,0.0,5
14,reg3,10,5470,18.0,5470_10913,18.0,True,1.0,0.0,5
14,reg3,11,111,18.0,111_16272,18.0,True,1.0,0.0,5
14,reg3,12,1702,18.0,1702_14681,18.0,True,1.0,0.0,5
